woorden,lettergrepen,aantal lettergrepen
wederkerigste,"['we', 'der', 'ke', 'rig', 'ste']",5
vuilmakend,"['vuil', 'ma', 'kend']",3
selandien,"['se', 'lan', 'dien']",3
opluiken,"['op', 'lui', 'ken']",3
Fanny,"['Fan', 'ny']",2
ovipaar,"['ovi', 'paar']",2
wintersporter,"['win', 'ter', 'spor', 'ter']",4
legeronderdeel,"['le', 'ger', 'on', 'der', 'deel']",5
thans,['thans'],1
afpoetsend,"['af', 'poet', 'send']",3
geagendeerd,"['ge', 'agen', 'deerd']",3
franciscaans,"['fran', 'cis', 'caans']",3
afdichting,"['af', 'dich', 'ting']",3
rafel,"['ra', 'fel']",2
bouwlamp,"['bouw', 'lamp']",2
familiariteit,"['fa', 'mi', 'li', 'a', 'ri', 'teit']",6
vervoegd,"['ver', 'voegd']",2
herijkt,"['her', 'ijkt']",2
indiscreters,"['in', 'dis', 'cre', 'ters']",4
kaarten,"['kaar', 'ten']",2
mollahs,"['mol', 'lahs']",2
klucht,['klucht'],1
zerp,['zerp'],1
verrol,"['ver', 'rol']",2
parkeerde uit,"['par', 'keer', 'de', 'uit']",4
geformuleerd,"['ge', 'for', 'mu', 'leerd']",4
verleren,"['ver', 'le', 'ren']",3
spookschaaf,"['spook', 'schaaf']",2
hapteen,"['hap', 'teen']",2
straatarm,"['straat', 'arm']",2
doorbrengen,"['door', 'bren', 'gen']",3
drugtoerisme,"['drug', 'toe', 'ris', 'me']",4
zwartboek,"['zwart', 'boek']",2
doorslaan,"['door', 'slaan']",2
fluitketel,"['fluit', 'ke', 'tel']",3
heggenmusjes,"['heg', 'gen', 'mus', 'jes']",4
noemer,"['noe', 'mer']",2
leeflaag,"['leef', 'laag']",2
letternaam,"['let', 'ter', 'naam']",3
sonoor,"['so', 'noor']",2
gieten,"['gie', 'ten']",2
vaargeulen,"['vaar', 'geu', 'len']",3
verpieterde,"['ver', 'pie', 'ter', 'de']",4
ontboezemend,"['ont', 'boe', 'ze', 'mend']",4
pikbroek,"['pik', 'broek']",2
weelderigheden,"['weel', 'de', 'rig', 'he', 'den']",5
nichemarkt,"['ni', 'che', 'markt']",3
hardloper,"['hard', 'lo', 'per']",3
aardvlo,"['aard', 'vlo']",2
machinegeweer,"['ma', 'chi', 'ne', 'ge', 'weer']",5
emendaties,"['emen', 'da', 'ties']",3
altemet,"['al', 'te', 'met']",3
ditransitief,"['di', 'tran', 'si', 'tief']",4
geldstroom,"['geld', 'stroom']",2
Noord-Brabant,"['Noord-Bra', 'bant']",2
paaien,"['paai', 'en']",2
afsteekt,"['af', 'steekt']",2
gulzigaard,"['gul', 'zig', 'aard']",3
Frans-Zwitserse,"['Frans-Zwit', 'ser', 'se']",3
poedersneeuw,"['poe', 'der', 'sneeuw']",3
gastroseksueel,"['gas', 'tro', 'sek', 'su', 'eel']",5
onverzorgdst,"['on', 'ver', 'zorgdst']",3
standhouden,"['stand', 'hou', 'den']",3
echoloodje,"['echo', 'lood', 'je']",3
verlosser,"['ver', 'los', 'ser']",3
b2b,['b2b'],1
regeringsfracties,"['re', 'ge', 'rings', 'frac', 'ties']",5
sedimentair,"['se', 'di', 'men', 'tair']",4
achtenswaarde,"['ach', 'tens', 'waar', 'de']",4
amoed,['amoed'],1
windenergie,"['wind', 'ener', 'gie']",3
dunbevolkte,"['dun', 'be', 'volk', 'te']",4
otolieten,"['oto', 'lie', 'ten']",3
gewone zeehond,"['ge', 'wo', 'ne', 'zee', 'hond']",5
groenkleurig,"['groen', 'kleu', 'rig']",3
aanbrengsters,"['aan', 'breng', 'sters']",3
mezelf,"['me', 'zelf']",2
Mao-griepje,"['Mao-griep', 'je']",2
over de eigen voeten struikelen,"['over', 'de', 'ei', 'gen', 'voe', 'ten', 'strui', 'ke', 'len']",9
knuffelcontacten,"['knuf', 'fel', 'con', 'tac', 'ten']",5
Tubeke,"['Tu', 'be', 'ke']",3
doordat,"['door', 'dat']",2
nakijken,"['na', 'kij', 'ken']",3
Benin,"['Be', 'nin']",2
welkomstbericht,"['wel', 'komst', 'be', 'richt']",4
bromfietshersteller,"['brom', 'fiets', 'her', 'stel', 'ler']",5
gnoseologen,"['gno', 'se', 'o', 'lo', 'gen']",5
afvalarmer,"['af', 'val', 'ar', 'mer']",4
dachten,"['dach', 'ten']",2
armhuis,"['arm', 'huis']",2
granaatappel,"['gra', 'naat', 'ap', 'pel']",4
citroengeel,"['ci', 'troen', 'geel']",3
natuurfilm,"['na', 'tuur', 'film']",3
kerker,"['ker', 'ker']",2
tautologie,"['tau', 'to', 'lo', 'gie']",4
houtomzetten,"['hout', 'om', 'zet', 'ten']",4
aanstak,"['aan', 'stak']",2
rapportage,"['rap', 'por', 'ta', 'ge']",4
losbarsten,"['los', 'bar', 'sten']",3
misrekenen,"['mis', 're', 'ke', 'nen']",4
zomersproetje,"['zo', 'mer', 'sproet', 'je']",4
Eskimohut,"['Es', 'ki', 'mo', 'hut']",4
wiggenbeen,"['wig', 'gen', 'been']",3
peperduur,"['pe', 'per', 'duur']",3
AJC,['AJC'],1
ad meie sjone,"['ad', 'meie', 'sjo', 'ne']",4
maffiapraktijk,"['maf', 'fia', 'prak', 'tijk']",4
compliceren,"['com', 'pli', 'ce', 'ren']",4
verminderd octaaf,"['ver', 'min', 'derd', 'oc', 'taaf']",5
veesten,"['vees', 'ten']",2
schietschijf,"['schiet', 'schijf']",2
beursbericht,"['beurs', 'be', 'richt']",3
Jesaja,"['Je', 'sa', 'ja']",3
cryptanalysetjes,"['crypt', 'ana', 'ly', 'se', 'tjes']",5
teergevoeligers,"['teer', 'ge', 'voe', 'li', 'gers']",5
chuchubi's,"['chu', 'chu', ""bi's""]",3
stockeerde,"['stoc', 'keer', 'de']",3
lijf in,"['lijf', 'in']",2
turn,['turn'],1
gries,['gries'],1
pothoedjes,"['pot', 'hoed', 'jes']",3
gemeentekas,"['ge', 'meen', 'te', 'kas']",4
collectieve sluiting,"['col', 'lec', 'tie', 've', 'slui', 'ting']",6
heerbaan,"['heer', 'baan']",2
xenograaf,"['xe', 'no', 'graaf']",3
vliegramp,"['vlieg', 'ramp']",2
Guerrero-Nahuatl,"['Guer', 're', 'ro-Na', 'hu', 'atl']",5
alnico,"['al', 'ni', 'co']",3
Tantaluskwelling,"['Tan', 'ta', 'lus', 'kwel', 'ling']",5
verwassen,"['ver', 'was', 'sen']",3
geriposteerd,"['ge', 'ri', 'pos', 'teerd']",4
kleed,['kleed'],1
Sion,"['Si', 'on']",2
marmelade,"['mar', 'me', 'la', 'de']",4
driehoek,"['drie', 'hoek']",2
happy ends,"['hap', 'py', 'ends']",3
spijts,['spijts'],1
dichtnaaide,"['dicht', 'naai', 'de']",3
leider,"['lei', 'der']",2
ontwonden,"['ont', 'won', 'den']",3
bestraald,"['be', 'straald']",2
ontvoering,"['ont', 'voe', 'ring']",3
twentertjes,"['twen', 'ter', 'tjes']",3
terechtwijzen,"['te', 'recht', 'wij', 'zen']",4
sprong open,"['sprong', 'open']",2
turgor,"['tur', 'gor']",2
orthodoxie,"['or', 'tho', 'doxie']",3
overrulen,"['over', 'ru', 'len']",3
Tataars,"['Ta', 'taars']",2
overcompenseerde,"['over', 'com', 'pen', 'seer', 'de']",5
eigengereid,"['ei', 'gen', 'ge', 'reid']",4
megaconcert,"['me', 'ga', 'con', 'cert']",4
voltmetertjes,"['volt', 'me', 'ter', 'tjes']",4
volders,"['vol', 'ders']",2
exposés,"['ex', 'po', 'sés']",3
zwaarmoedige,"['zwaar', 'moe', 'di', 'ge']",4
geroosterde,"['ge', 'roos', 'ter', 'de']",4
prikkelbaardere,"['prik', 'kel', 'baar', 'de', 're']",5
wielerclub,"['wie', 'ler', 'club']",3
elektrofoon,"['elek', 'tro', 'foon']",3
penantkastje,"['pe', 'nant', 'kast', 'je']",4
doelstelling,"['doel', 'stel', 'ling']",3
honderdvierentwintig,"['hon', 'derd', 'vier', 'en', 'twin', 'tig']",6
loensten,"['loens', 'ten']",2
aanveegden,"['aan', 'veeg', 'den']",3
Letland,"['Let', 'land']",2
kutventen,"['kut', 'ven', 'ten']",3
postdozen,"['post', 'do', 'zen']",3
ziekenstoelen,"['zie', 'ken', 'stoe', 'len']",4
ophaaldag,"['op', 'haal', 'dag']",3
bestandssysteem,"['be', 'stands', 'sys', 'teem']",4
oud-eigenaar,"['oud-ei', 'ge', 'naar']",3
slaapaanval,"['slaap', 'aan', 'val']",3
neder,"['ne', 'der']",2
Dirk,['Dirk'],1
boekhouding,"['boek', 'hou', 'ding']",3
schorpioentje,"['schor', 'pi', 'oen', 'tje']",4
molrat,"['mol', 'rat']",2
Assens,"['As', 'sens']",2
galmen,"['gal', 'men']",2
wedijverde,"['wed', 'ij', 'ver', 'de']",4
onbenoemder,"['on', 'be', 'noem', 'der']",4
getwaalven,"['ge', 'twaal', 'ven']",3
ontoereikendste,"['on', 'toe', 'rei', 'kend', 'ste']",5
motorrem,"['mo', 'tor', 'rem']",3
#NAME?,"['-et', 'te']",2
stelpost,"['stel', 'post']",2
verhevenere,"['ver', 'he', 've', 'ne', 're']",5
kunstbeschermster,"['kunst', 'be', 'scherm', 'ster']",4
tonussen,"['to', 'nus', 'sen']",3
Urartisch,"['Urar', 'tisch']",2
beoogt,"['be', 'oogt']",2
pompier,"['pom', 'pier']",2
beklinkerd,"['be', 'klin', 'kerd']",3
hakken,"['hak', 'ken']",2
chagrijnig,"['cha', 'grij', 'nig']",3
knoop,['knoop'],1
parochieschooltjes,"['pa', 'ro', 'chie', 'school', 'tjes']",5
zout op,"['zout', 'op']",2
computerbreakdown,"['com', 'pu', 'ter', 'break', 'down']",5
Talossaantjes,"['Ta', 'los', 'saan', 'tjes']",4
kemirienootjes,"['ke', 'mi', 'rie', 'noot', 'jes']",5
frieten,"['frie', 'ten']",2
uitgeladen,"['uit', 'ge', 'la', 'den']",4
puntenlijst,"['pun', 'ten', 'lijst']",3
lubriek,"['lu', 'briek']",2
aandachtsgebied,"['aan', 'dachts', 'ge', 'bied']",4
hitparades,"['hit', 'pa', 'ra', 'des']",4
fluitender,"['flui', 'ten', 'der']",3
robe,"['ro', 'be']",2
tekeningetje,"['te', 'ke', 'nin', 'ge', 'tje']",5
afgezien,"['af', 'ge', 'zien']",3
toetrad,"['toe', 'trad']",2
viewmaster,"['view', 'mas', 'ter']",3
regenlaarzen,"['re', 'gen', 'laar', 'zen']",4
gespinsd,"['ge', 'spinsd']",2
militantst,"['mi', 'li', 'tantst']",3
dergelijke,"['der', 'ge', 'lij', 'ke']",4
etiquetteregeltje,"['eti', 'quet', 'te', 're', 'gel', 'tje']",6
alcoholist,"['al', 'co', 'ho', 'list']",4
hartslag,"['hart', 'slag']",2
bestempeld,"['be', 'stem', 'peld']",3
verhoop,"['ver', 'hoop']",2
monopsonie,"['mo', 'nop', 'so', 'nie']",4
gestadigs,"['ge', 'sta', 'digs']",3
mor,['mor'],1
centrifugaal,"['cen', 'tri', 'fu', 'gaal']",4
dunlipharder,"['dun', 'lip', 'har', 'der']",4
knoflookje,"['knof', 'look', 'je']",3
knieschijven,"['knie', 'schij', 'ven']",3
capraat,"['ca', 'praat']",2
neutelde,"['neu', 'tel', 'de']",3
gebarricadeerde,"['ge', 'bar', 'ri', 'ca', 'deer', 'de']",6
voortgestuwde,"['voort', 'ge', 'stuw', 'de']",4
leegruimen,"['leeg', 'rui', 'men']",3
megahenry,"['me', 'ga', 'hen', 'ry']",4
landerige,"['lan', 'de', 'ri', 'ge']",4
draadmandje,"['draad', 'mand', 'je']",3
zinkbaar,"['zink', 'baar']",2
betaalde door,"['be', 'taal', 'de', 'door']",4
medaille,"['me', 'dail', 'le']",3
zuidvrucht,"['zuid', 'vrucht']",2
vermetel,"['ver', 'me', 'tel']",3
heksenjacht,"['hek', 'sen', 'jacht']",3
accents circonflexes,"['ac', 'cents', 'cir', 'con', 'flexes']",5
wel,['wel'],1
verrechtvaardig,"['ver', 'recht', 'vaar', 'dig']",4
frisicus,"['fri', 'si', 'cus']",3
Letse,"['Let', 'se']",2
comptabel,"['comp', 'ta', 'bel']",3
Delaware,"['De', 'la', 'ware']",3
Huasteeks,"['Hu', 'as', 'teeks']",3
sprookje,"['sprook', 'je']",2
lanthaan,"['lan', 'thaan']",2
gewin,"['ge', 'win']",2
bakken vast,"['bak', 'ken', 'vast']",3
freefighten,"['free', 'figh', 'ten']",3
bewusts,"['be', 'wusts']",2
Burundi,"['Bu', 'run', 'di']",3
zesdraads,"['zes', 'draads']",2
dodental,"['do', 'den', 'tal']",3
eclatantste,"['ecla', 'tant', 'ste']",3
knippen,"['knip', 'pen']",2
meidoren,"['mei', 'do', 'ren']",3
showbusiness,"['show', 'busi', 'ness']",3
aantonend,"['aan', 'to', 'nend']",3
vernieuwendere,"['ver', 'nieu', 'wen', 'de', 're']",5
sterkte,"['sterk', 'te']",2
aanvalsremmer,"['aan', 'vals', 'rem', 'mer']",4
nablaffend,"['na', 'blaf', 'fend']",3
oppassen,"['op', 'pas', 'sen']",3
Kedang,"['Ke', 'dang']",2
spugen,"['spu', 'gen']",2
banpaal,"['ban', 'paal']",2
beroepshalve,"['be', 'roeps', 'hal', 've']",4
eierlijst,"['ei', 'er', 'lijst']",3
doordrukken,"['door', 'druk', 'ken']",3
oppervlaktewatertjes,"['op', 'per', 'vlak', 'te', 'wa', 'ter', 'tjes']",7
variétéhoertje,"['va', 'ri', 'é', 'té', 'hoer', 'tje']",6
bioscoop,"['bio', 'scoop']",2
lege,"['le', 'ge']",2
belangstellend,"['be', 'lang', 'stel', 'lend']",4
samenleving,"['sa', 'men', 'le', 'ving']",4
pigment,"['pig', 'ment']",2
aalbessensapjes,"['aal', 'bes', 'sen', 'sap', 'jes']",5
accutreinen,"['ac', 'cu', 'trei', 'nen']",4
dorren,"['dor', 'ren']",2
stuitbeen,"['stuit', 'been']",2
doorstreept,"['door', 'streept']",2
koolbladen,"['kool', 'bla', 'den']",3
tierelantijntjes,"['tie', 're', 'lan', 'tijn', 'tjes']",5
rekwisitie,"['re', 'kwi', 'si', 'tie']",4
seminar,"['se', 'mi', 'nar']",3
Europacup,"['Eu', 'ro', 'pa', 'cup']",4
droogdoek,"['droog', 'doek']",2
sigarenkokertje,"['si', 'ga', 'ren', 'ko', 'ker', 'tje']",6
paleobotanicus,"['pa', 'leo', 'bo', 'ta', 'ni', 'cus']",6
garderobe,"['gar', 'de', 'ro', 'be']",4
driemaandelijks,"['drie', 'maan', 'de', 'lijks']",4
milieueconomie,"['mi', 'li', 'eu', 'eco', 'no', 'mie']",6
gansrijden,"['gans', 'rij', 'den']",3
mi,['mi'],1
spichtigers,"['spich', 'ti', 'gers']",3
Antarctica,"['An', 'tarc', 'ti', 'ca']",4
betere,"['be', 'te', 're']",3
haakten af,"['haak', 'ten', 'af']",3
superhond,"['su', 'per', 'hond']",3
salonfähige,"['sa', 'lon', 'fä', 'hi', 'ge']",5
afzetzaag,"['af', 'zet', 'zaag']",3
kelt,['kelt'],1
fasetjes,"['fa', 'se', 'tjes']",3
medaillonnetjes,"['me', 'dail', 'lon', 'ne', 'tjes']",5
avondschool,"['avond', 'school']",2
kluppelen,"['klup', 'pe', 'len']",3
denkspoor,"['denk', 'spoor']",2
spotgoedkoopst,"['spot', 'goed', 'koopst']",3
ijsbeer,"['ijs', 'beer']",2
galop,"['ga', 'lop']",2
verbloemd,"['ver', 'bloemd']",2
eenmansfracties,"['een', 'mans', 'frac', 'ties']",4
F,['F'],1
bye,['bye'],1
continent,"['con', 'ti', 'nent']",3
wapenhandelaren,"['wa', 'pen', 'han', 'de', 'la', 'ren']",6
landheer,"['land', 'heer']",2
aansluitklemmen,"['aan', 'sluit', 'klem', 'men']",4
kwestie,"['kwes', 'tie']",2
daglichtlamp,"['dag', 'licht', 'lamp']",3
uitstroom,"['uit', 'stroom']",2
spoedeisendst,"['spoed', 'ei', 'sendst']",3
schaduwkruiskruid,"['scha', 'duw', 'kruis', 'kruid']",4
binnenstebuiten,"['bin', 'nen', 'ste', 'bui', 'ten']",5
achttal,"['acht', 'tal']",2
Congo,"['Con', 'go']",2
zoeklicht,"['zoek', 'licht']",2
peiger,"['pei', 'ger']",2
zekering,"['ze', 'ke', 'ring']",3
hollen,"['hol', 'len']",2
eerste-eeuwer,"['eer', 'ste-eeu', 'wer']",3
kinderfilm,"['kin', 'der', 'film']",3
Luganda,"['Lu', 'gan', 'da']",3
antiklerikale,"['an', 'ti', 'kle', 'ri', 'ka', 'le']",6
einzen,"['ein', 'zen']",2
instrumentairste,"['in', 'stru', 'men', 'tair', 'ste']",5
weerlichtte,"['weer', 'licht', 'te']",3
mentholsigaretten,"['men', 'thol', 'si', 'ga', 'ret', 'ten']",6
turnkringetjes,"['turn', 'krin', 'ge', 'tjes']",4
postvatten,"['post', 'vat', 'ten']",3
Mantuaans,"['Man', 'tu', 'aans']",3
kwispedoortje,"['kwis', 'pe', 'door', 'tje']",4
hinken,"['hin', 'ken']",2
foyer,"['foy', 'er']",2
woekerhandel,"['woe', 'ker', 'han', 'del']",4
wiegemes,"['wie', 'ge', 'mes']",3
ravitaillering,"['ra', 'vi', 'tail', 'le', 'ring']",5
vetzuurtje,"['vet', 'zuur', 'tje']",3
achelend,"['ache', 'lend']",2
beider,"['bei', 'der']",2
plezieren,"['ple', 'zie', 'ren']",3
voorzingen,"['voor', 'zin', 'gen']",3
rechtsklikken,"['rechts', 'klik', 'ken']",3
genoodzaakt,"['ge', 'nood', 'zaakt']",3
röntgenium,"['rönt', 'ge', 'ni', 'um']",4
bloodaard,"['blood', 'aard']",2
eenmansbedrijf,"['een', 'mans', 'be', 'drijf']",4
dreggen,"['dreg', 'gen']",2
quasiwetenschappelijkste,"['qua', 'si', 'we', 'ten', 'schap', 'pe', 'lijk', 'ste']",8
caféruzies,"['ca', 'fé', 'ru', 'zies']",4
kaalkopjes,"['kaal', 'kop', 'jes']",3
hydrant,"['hy', 'drant']",2
volplakken,"['vol', 'plak', 'ken']",3
kinderhuwelijk,"['kin', 'der', 'hu', 'we', 'lijk']",5
aanstoots,"['aan', 'stoots']",2
wingewestje,"['win', 'ge', 'west', 'je']",4
oogkwaal,"['oog', 'kwaal']",2
's daags,"[""'s"", 'daags']",2
Nevada,"['Ne', 'va', 'da']",3
gevijftigen,"['ge', 'vijf', 'ti', 'gen']",4
hoerenklantjes,"['hoe', 'ren', 'klant', 'jes']",4
kaar,['kaar'],1
axiaal,"['axi', 'aal']",2
stukend,"['stu', 'kend']",2
tijrivier,"['tij', 'ri', 'vier']",3
yang,['yang'],1
druppeltjes,"['drup', 'pel', 'tjes']",3
krijsen,"['krij', 'sen']",2
zijg neer,"['zijg', 'neer']",2
gynaecologisch,"['gy', 'nae', 'co', 'lo', 'gisch']",5
VARA,"['VA', 'RA']",2
aankomsthalletjes,"['aan', 'komst', 'hal', 'le', 'tjes']",5
zeepen,"['zee', 'pen']",2
conservatorium,"['con', 'ser', 'va', 'to', 'ri', 'um']",6
stoelgang,"['stoel', 'gang']",2
zoutmeer,"['zout', 'meer']",2
gelach,"['ge', 'lach']",2
verheugend,"['ver', 'heu', 'gend']",3
opschaling,"['op', 'scha', 'ling']",3
sleephopper,"['sleep', 'hop', 'per']",3
zwartbont,"['zwart', 'bont']",2
aanstootte,"['aan', 'stoot', 'te']",3
onverdundst,"['on', 'ver', 'dundst']",3
fitness,"['fit', 'ness']",2
onverdraagzame,"['on', 'ver', 'draag', 'za', 'me']",5
ouderenzorg,"['ou', 'de', 'ren', 'zorg']",4
bedrijfsruimtes,"['be', 'drijfs', 'ruim', 'tes']",4
bloedzuiger,"['bloed', 'zui', 'ger']",3
haalmes,"['haal', 'mes']",2
kijkersaantal,"['kij', 'kers', 'aan', 'tal']",4
welmenende,"['wel', 'me', 'nen', 'de']",4
achterbakken,"['ach', 'ter', 'bak', 'ken']",4
Angaur,"['An', 'gaur']",2
broeden,"['broe', 'den']",2
letterdicht,"['let', 'ter', 'dicht']",3
zagerijen,"['za', 'ge', 'rij', 'en']",4
wasbak,"['was', 'bak']",2
onthouding,"['ont', 'hou', 'ding']",3
wegspeelt,"['weg', 'speelt']",2
gnatholoog,"['gna', 'tho', 'loog']",3
penultima,"['pen', 'ul', 'ti', 'ma']",4
annexeert,"['an', 'nexeert']",2
rajab,"['ra', 'jab']",2
parachutistjes,"['pa', 'ra', 'chu', 'tist', 'jes']",5
aanlooppunten,"['aan', 'loop', 'pun', 'ten']",4
calvarietochten,"['cal', 'va', 'rie', 'toch', 'ten']",5
dan,['dan'],1
sneeuwwitje,"['sneeuw', 'wit', 'je']",3
kostendrukkendst,"['kos', 'ten', 'druk', 'kendst']",4
bukken,"['buk', 'ken']",2
reclamezuiltje,"['re', 'cla', 'me', 'zuil', 'tje']",5
omhoogsteken,"['om', 'hoog', 'ste', 'ken']",4
aartshertogje,"['aarts', 'her', 'tog', 'je']",4
landlopen,"['land', 'lo', 'pen']",3
geconjugeerd,"['ge', 'con', 'ju', 'geerd']",4
landbouwwerktuigen,"['land', 'bouw', 'werk', 'tui', 'gen']",5
feestgast,"['feest', 'gast']",2
aandelenhandelaars,"['aan', 'de', 'len', 'han', 'de', 'laars']",6
natuurazijn,"['na', 'tuur', 'azijn']",3
fijnbesnaardste,"['fijn', 'be', 'snaard', 'ste']",4
heining,"['hei', 'ning']",2
wat,['wat'],1
smiecht,['smiecht'],1
roetsjen,"['roet', 'sjen']",2
schrijver,"['schrij', 'ver']",2
Wotisch,"['Wo', 'tisch']",2
wetswijzigingen,"['wets', 'wij', 'zi', 'gin', 'gen']",5
blozen,"['blo', 'zen']",2
castraat,"['cas', 'traat']",2
wrijvinkje,"['wrij', 'vin', 'kje']",3
medeorganisators,"['me', 'de', 'or', 'ga', 'ni', 'sa', 'tors']",7
orkestrale,"['or', 'kes', 'tra', 'le']",4
operator,"['ope', 'ra', 'tor']",3
slaapsokjes,"['slaap', 'sok', 'jes']",3
blinderende,"['blin', 'de', 'ren', 'de']",4
fietsend,"['fiet', 'send']",2
afdroogt,"['af', 'droogt']",2
zigeuner,"['zi', 'geu', 'ner']",3
drugscafé,"['drugs', 'ca', 'fé']",3
kleurplaat,"['kleur', 'plaat']",2
onwelluidender,"['on', 'wel', 'lui', 'den', 'der']",5
klemrijden,"['klem', 'rij', 'den']",3
zaagvormig,"['zaag', 'vor', 'mig']",3
sabben,"['sab', 'ben']",2
loodvervuilingen,"['lood', 'ver', 'vui', 'lin', 'gen']",5
bulderen,"['bul', 'de', 'ren']",3
hol,['hol'],1
krantenbezorger,"['kran', 'ten', 'be', 'zor', 'ger']",5
belwaarden,"['bel', 'waar', 'den']",3
poepend,"['poe', 'pend']",2
honkbal,"['honk', 'bal']",2
tonbrug,"['ton', 'brug']",2
gymnastischere,"['gym', 'nas', 'ti', 'sche', 're']",5
blindheid,"['blind', 'heid']",2
duwen,"['du', 'wen']",2
staartmees,"['staart', 'mees']",2
zethaak,"['zet', 'haak']",2
ironieteken,"['iro', 'nie', 'te', 'ken']",4
seksfeest,"['seks', 'feest']",2
bouwfraudes,"['bouw', 'frau', 'des']",3
beloftevolle,"['be', 'lof', 'te', 'vol', 'le']",5
voorwaarts,"['voor', 'waarts']",2
gingen aan,"['gin', 'gen', 'aan']",3
leesvaardig,"['lees', 'vaar', 'dig']",3
wanboffen,"['wan', 'bof', 'fen']",3
boogbrugjes,"['boog', 'brug', 'jes']",3
pluralisme,"['plu', 'ra', 'lis', 'me']",4
thuisquarantaine,"['thuis', 'qua', 'ran', 'tai', 'ne']",5
mug,['mug'],1
uitstapte,"['uit', 'stap', 'te']",3
fineerzaag,"['fi', 'neer', 'zaag']",3
Alpen,"['Al', 'pen']",2
doorzeur,"['door', 'zeur']",2
optioneel,"['op', 'ti', 'o', 'neel']",4
fertielst,"['fer', 'tielst']",2
geslaagdere,"['ge', 'slaag', 'de', 're']",4
blokhaak,"['blok', 'haak']",2
uitlevering,"['uit', 'le', 've', 'ring']",4
zandstralen,"['zand', 'stra', 'len']",3
