woorden,lettergrepen,aantal lettergrepen
gerangschikte,"['ge', 'rang', 'schik', 'te']",4
popsterretjes,"['pop', 'ster', 're', 'tjes']",4
smeken,"['sme', 'ken']",2
classificeerder,"['clas', 'si', 'fi', 'ceer', 'der']",5
Slavische,"['Sla', 'vi', 'sche']",3
zomerbroek,"['zo', 'mer', 'broek']",3
verorberd,"['ver', 'or', 'berd']",3
gezegendst,"['ge', 'ze', 'gendst']",3
waterstofcyanide,"['wa', 'ter', 'stof', 'cy', 'a', 'ni', 'de']",7
partieel,"['par', 'ti', 'eel']",3
reuzenpanda,"['reu', 'zen', 'pan', 'da']",4
wakker,"['wak', 'ker']",2
voorgeven,"['voor', 'ge', 'ven']",3
taks,['taks'],1
hypofyse,"['hy', 'po', 'fy', 'se']",4
hunzelf,"['hun', 'zelf']",2
ondoorgrondelijk,"['on', 'door', 'gron', 'de', 'lijk']",5
muilezelinnetjes,"['muil', 'eze', 'lin', 'ne', 'tjes']",5
d-klein,['d-klein'],1
grenzeloze,"['gren', 'ze', 'lo', 'ze']",4
boetseerklei,"['boet', 'seer', 'klei']",3
kraanoog,"['kraan', 'oog']",2
draaierig,"['draai', 'e', 'rig']",3
hectokelvin,"['hec', 'to', 'kel', 'vin']",4
aardvruchtje,"['aard', 'vrucht', 'je']",3
oververhitten,"['over', 'ver', 'hit', 'ten']",4
weekgeld,"['week', 'geld']",2
filtreren,"['fil', 'tre', 'ren']",3
streefcijfer,"['streef', 'cij', 'fer']",3
testikel,"['tes', 'ti', 'kel']",3
opgedirkt,"['op', 'ge', 'dirkt']",3
ploegpaard,"['ploeg', 'paard']",2
mathemaat,"['ma', 'the', 'maat']",3
slap,['slap'],1
leek,['leek'],1
-groot,['-groot'],1
zwaarlijvig,"['zwaar', 'lij', 'vig']",3
stemhebbendere,"['stem', 'heb', 'ben', 'de', 're']",5
azimut,"['azi', 'mut']",2
veeleer,"['veel', 'eer']",2
ontrukken,"['ont', 'ruk', 'ken']",3
houtsnijder,"['hout', 'snij', 'der']",3
blijvender,"['blij', 'ven', 'der']",3
ambitieuze,"['am', 'bi', 'ti', 'eu', 'ze']",5
garoe,"['ga', 'roe']",2
aanbiddelijkere,"['aan', 'bid', 'de', 'lij', 'ke', 're']",6
Aymara,"['Ay', 'ma', 'ra']",3
12-jaarlijkse,"['12-jaar', 'lijk', 'se']",3
oscillatie,"['os', 'cil', 'la', 'tie']",4
kerstverhaal,"['kerst', 'ver', 'haal']",3
baljuw,"['bal', 'juw']",2
verstikken,"['ver', 'stik', 'ken']",3
boette in,"['boet', 'te', 'in']",3
glasnost,"['glas', 'nost']",2
woon-zorgcentrums,"['woon-zorg', 'cen', 'trums']",3
luchtmobiel,"['lucht', 'mo', 'biel']",3
drafsporten,"['draf', 'spor', 'ten']",3
dreef omhoog,"['dreef', 'om', 'hoog']",3
verstarren,"['ver', 'star', 'ren']",3
verleuteren,"['ver', 'leu', 'te', 'ren']",4
persbureau,"['pers', 'bu', 'reau']",3
seizoenswerkloosheid,"['sei', 'zoens', 'werk', 'loos', 'heid']",5
tafereeltjes,"['ta', 'fe', 'reel', 'tjes']",4
zegelverkoop,"['ze', 'gel', 'ver', 'koop']",4
boodschappenkar,"['bood', 'schap', 'pen', 'kar']",4
deelwoord,"['deel', 'woord']",2
rabiater,"['ra', 'bi', 'a', 'ter']",4
wijkagentes,"['wijk', 'agen', 'tes']",3
vervoegbaarste,"['ver', 'voeg', 'baar', 'ste']",4
switcher,"['swit', 'cher']",2
zicht,['zicht'],1
groezig,"['groe', 'zig']",2
protest,"['pro', 'test']",2
stoepkrijt,"['stoep', 'krijt']",2
tegendruk,"['te', 'gen', 'druk']",3
gebalanceerd,"['ge', 'ba', 'lan', 'ceerd']",4
dienstmeid,"['dienst', 'meid']",2
reddingloze,"['red', 'ding', 'lo', 'ze']",4
slaperig,"['sla', 'pe', 'rig']",3
botertjes,"['bo', 'ter', 'tjes']",3
kijklustiger,"['kijk', 'lus', 'ti', 'ger']",4
zang,['zang'],1
hooggebergte,"['hoog', 'ge', 'berg', 'te']",4
cryptoanalyse,"['cryp', 'to', 'ana', 'ly', 'se']",5
wijting,"['wij', 'ting']",2
uitmuntend,"['uit', 'mun', 'tend']",3
ossenboeren,"['os', 'sen', 'boe', 'ren']",4
allochtoontjes,"['al', 'loch', 'toon', 'tjes']",4
hematologen,"['he', 'ma', 'to', 'lo', 'gen']",5
bovenkantje,"['bo', 'ven', 'kant', 'je']",4
leugenaarsparadox,"['leu', 'ge', 'naars', 'pa', 'ra', 'dox']",6
Curaçao,"['Cu', 'ra', 'çao']",3
Koerdisch,"['Koer', 'disch']",2
marktprijzen,"['markt', 'prij', 'zen']",3
après-ski,['après-ski'],1
maling,"['ma', 'ling']",2
zijnerzijds,"['zij', 'ner', 'zijds']",3
drukknopje,"['druk', 'knop', 'je']",3
plichtige,"['plich', 'ti', 'ge']",3
strontvervelende,"['stront', 'ver', 've', 'len', 'de']",5
Wit-Russisch,"['Wit-Rus', 'sisch']",2
bvb's,"[""bvb's""]",1
weesfietsen,"['wees', 'fiet', 'sen']",3
servieskast,"['ser', 'vies', 'kast']",3
K'iche',"[""K'i"", ""che'""]",2
Tumbuka,"['Tum', 'bu', 'ka']",3
oxide,"['oxi', 'de']",2
afgekust,"['af', 'ge', 'kust']",3
camera,"['ca', 'me', 'ra']",3
schakelbord,"['scha', 'kel', 'bord']",3
samaren,"['sa', 'ma', 'ren']",3
rijpartijtjes,"['rij', 'par', 'tij', 'tjes']",4
inschikkende,"['in', 'schik', 'ken', 'de']",4
debet,"['de', 'bet']",2
voorjaartje,"['voor', 'jaar', 'tje']",3
wijfjesfazanten,"['wijf', 'jes', 'fa', 'zan', 'ten']",5
kwaakte,"['kwaak', 'te']",2
Lukas,"['Lu', 'kas']",2
keellijst,"['keel', 'lijst']",2
wegspelend,"['weg', 'spe', 'lend']",3
anoniem,"['ano', 'niem']",2
herformuleren,"['her', 'for', 'mu', 'le', 'ren']",5
aftrekseltjes,"['af', 'trek', 'sel', 'tjes']",4
apenjaren,"['apen', 'ja', 'ren']",3
Aragonese,"['Ara', 'go', 'ne', 'se']",4
ecoduct,"['eco', 'duct']",2
galajurkje,"['ga', 'la', 'jurk', 'je']",4
opdelen,"['op', 'de', 'len']",3
stafje,"['staf', 'je']",2
civielrechtelijkers,"['ci', 'viel', 'rech', 'te', 'lij', 'kers']",6
chauffeur,"['chauf', 'feur']",2
tribaals,"['tri', 'baals']",2
beenkap,"['been', 'kap']",2
Tibet,"['Ti', 'bet']",2
Malieveld,"['Ma', 'lie', 'veld']",3
carambole,"['ca', 'ram', 'bo', 'le']",4
valabelst,"['va', 'la', 'belst']",3
moriaan,"['mo', 'ri', 'aan']",3
nakeuring,"['na', 'keu', 'ring']",3
pakjesfeestje,"['pak', 'jes', 'feest', 'je']",4
goedbetaald,"['goed', 'be', 'taald']",3
überhaupt,"['über', 'haupt']",2
toffee,"['tof', 'fee']",2
overzitten,"['over', 'zit', 'ten']",3
betoelaging,"['be', 'toe', 'la', 'ging']",4
mortel,"['mor', 'tel']",2
inbreken,"['in', 'bre', 'ken']",3
wandelschoentjes,"['wan', 'del', 'schoen', 'tjes']",4
opzien,"['op', 'zien']",2
barman,"['bar', 'man']",2
smalspoortje,"['smal', 'spoor', 'tje']",3
toeschijnen,"['toe', 'schij', 'nen']",3
tonsillair,"['ton', 'sil', 'lair']",3
hups,['hups'],1
collectrice,"['col', 'lec', 'tri', 'ce']",4
mobieltje,"['mo', 'biel', 'tje']",3
pastel,"['pas', 'tel']",2
dolhuis,"['dol', 'huis']",2
Appalachen,"['Ap', 'pa', 'la', 'chen']",4
tussenleggertje,"['tus', 'sen', 'leg', 'ger', 'tje']",5
snorkeltje,"['snor', 'kel', 'tje']",3
vernietigender,"['ver', 'nie', 'ti', 'gen', 'der']",5
skilift,"['ski', 'lift']",2
leut,['leut'],1
Bilba,"['Bil', 'ba']",2
aanveegde,"['aan', 'veeg', 'de']",3
froemer,"['froe', 'mer']",2
geelkeelstekelstaart,"['geel', 'keel', 'ste', 'kel', 'staart']",5
reiken,"['rei', 'ken']",2
waterleiding,"['wa', 'ter', 'lei', 'ding']",4
watervalletjes,"['wa', 'ter', 'val', 'le', 'tjes']",5
uitvechten,"['uit', 'vech', 'ten']",3
cleanst,['cleanst'],1
mineurstemming,"['mi', 'neur', 'stem', 'ming']",4
vilbeluik,"['vil', 'be', 'luik']",3
bedonderd,"['be', 'don', 'derd']",3
bultschelp,"['bult', 'schelp']",2
fosburyflop,"['fos', 'bu', 'ry', 'flop']",4
afgefloten,"['af', 'ge', 'flo', 'ten']",4
mislezende,"['mis', 'le', 'zen', 'de']",4
geve door,"['ge', 've', 'door']",3
vluchtstrook,"['vlucht', 'strook']",2
knoflookboter,"['knof', 'look', 'bo', 'ter']",4
Burkina Faso,"['Bur', 'ki', 'na', 'Fa', 'so']",5
roodoranje,"['rood', 'oran', 'je']",3
verhoging,"['ver', 'ho', 'ging']",3
Oudgrieks,"['Oud', 'grieks']",2
eindejaarspremies,"['ein', 'de', 'jaars', 'pre', 'mies']",5
zomertortels,"['zo', 'mer', 'tor', 'tels']",4
werpsters,"['werp', 'sters']",2
waterbeheersingen,"['wa', 'ter', 'be', 'heer', 'sin', 'gen']",6
wapenhandelaren,"['wa', 'pen', 'han', 'de', 'la', 'ren']",6
polyolefinen,"['po', 'ly', 'ole', 'fi', 'nen']",5
onvoldragens,"['on', 'vol', 'dra', 'gens']",4
gist,['gist'],1
weekgeldjes,"['week', 'geld', 'jes']",3
verzaligd,"['ver', 'za', 'ligd']",3
actiehandeltjes,"['ac', 'tie', 'han', 'del', 'tjes']",5
gewaarwerden,"['ge', 'waar', 'wer', 'den']",4
afgejakkerd,"['af', 'ge', 'jak', 'kerd']",4
ronke,"['ron', 'ke']",2
messieurs,"['mes', 'si', 'eurs']",3
plakten aan,"['plak', 'ten', 'aan']",3
sterrenhopen,"['ster', 'ren', 'ho', 'pen']",4
geluidloze,"['ge', 'luid', 'lo', 'ze']",4
werfdepots,"['werf', 'de', 'pots']",3
fluweligst,"['flu', 'we', 'ligst']",3
zeventig,"['ze', 'ven', 'tig']",3
taakgerichters,"['taak', 'ge', 'rich', 'ters']",4
gebruikersnaam,"['ge', 'brui', 'kers', 'naam']",4
thora,"['tho', 'ra']",2
gevangen,"['ge', 'van', 'gen']",3
pakket,"['pak', 'ket']",2
primetimes,"['prime', 'times']",2
klimatologisch,"['kli', 'ma', 'to', 'lo', 'gisch']",5
secretarisje,"['se', 'cre', 'ta', 'ris', 'je']",5
invloedrijk,"['in', 'vloed', 'rijk']",3
eerste klasse,"['eer', 'ste', 'klas', 'se']",4
zoldervenstertje,"['zol', 'der', 'ven', 'ster', 'tje']",5
hoever,"['hoe', 'ver']",2
inschalk,"['in', 'schalk']",2
vrezen,"['vre', 'zen']",2
duivel,"['dui', 'vel']",2
bloedziekten,"['bloed', 'ziek', 'ten']",3
inkrimpen,"['in', 'krim', 'pen']",3
stuipen,"['stui', 'pen']",2
kamerantenne,"['ka', 'mer', 'an', 'ten', 'ne']",5
schroefdraad,"['schroef', 'draad']",2
fluwelig,"['flu', 'we', 'lig']",3
behielp,"['be', 'hielp']",2
bewogen mee,"['be', 'wo', 'gen', 'mee']",4
kronieken,"['kro', 'nie', 'ken']",3
aanbidden,"['aan', 'bid', 'den']",3
donderwolktoontje,"['don', 'der', 'wolk', 'toon', 'tje']",5
afwasser,"['af', 'was', 'ser']",3
streperigere,"['stre', 'pe', 'ri', 'ge', 're']",5
watermolletje,"['wa', 'ter', 'mol', 'le', 'tje']",5
biervaatje,"['bier', 'vaat', 'je']",3
zakenbelangen,"['za', 'ken', 'be', 'lan', 'gen']",5
baardzwijn,"['baard', 'zwijn']",2
mixagetje,"['mixa', 'ge', 'tje']",3
dagdromen,"['dag', 'dro', 'men']",3
opgeld,"['op', 'geld']",2
agribulk,"['agri', 'bulk']",2
voeding,"['voe', 'ding']",2
verzoeknummers,"['ver', 'zoek', 'num', 'mers']",4
annulatieverzekeringen,"['an', 'nu', 'la', 'tie', 'ver', 'ze', 'ke', 'rin', 'gen']",9
Fis-groot,['Fis-groot'],1
aandachttrekker,"['aan', 'dacht', 'trek', 'ker']",4
nebbe,"['neb', 'be']",2
motachtige,"['mot', 'ach', 'ti', 'ge']",4
o.a.,['o.a.'],1
hellebaard,"['hel', 'le', 'baard']",3
omgezegd,"['om', 'ge', 'zegd']",3
massavernietigingswapentje,"['mas', 'sa', 'ver', 'nie', 'ti', 'gings', 'wa', 'pen', 'tje']",9
windspilletje,"['wind', 'spil', 'le', 'tje']",4
geschiedschrijver,"['ge', 'schied', 'schrij', 'ver']",4
structuurfonds,"['struc', 'tuur', 'fonds']",3
triomfbogen,"['tri', 'omf', 'bo', 'gen']",4
overlopen,"['over', 'lo', 'pen']",3
Jammu en Kashmir,"['Jam', 'mu', 'en', 'Kash', 'mir']",5
krakelingetje,"['kra', 'ke', 'lin', 'ge', 'tje']",5
zelfbedieningskapitalisme,"['zelf', 'be', 'die', 'nings', 'ka', 'pi', 'ta', 'lis', 'me']",9
Valentijnsdag,"['Va', 'len', 'tijns', 'dag']",4
dassenhaar,"['das', 'sen', 'haar']",3
Thao,['Thao'],1
delend,"['de', 'lend']",2
voorzien,"['voor', 'zien']",2
seksuologie,"['sek', 'suo', 'lo', 'gie']",4
abolities,"['abo', 'li', 'ties']",3
inoefen,"['in', 'oe', 'fen']",3
Slowakije,"['Slo', 'wa', 'kije']",3
Genua,"['Ge', 'nua']",2
pinteliert,"['pin', 'te', 'liert']",3
drastisch,"['dras', 'tisch']",2
bezittelijkere,"['be', 'zit', 'te', 'lij', 'ke', 're']",6
tillen,"['til', 'len']",2
husky,"['hus', 'ky']",2
substantief,"['sub', 'stan', 'tief']",3
vervelend,"['ver', 've', 'lend']",3
bijenvolkje,"['bij', 'en', 'volk', 'je']",4
zeemzoet,"['zeem', 'zoet']",2
protestantser,"['pro', 'tes', 'tant', 'ser']",4
bekwam,"['be', 'kwam']",2
landbouwonderwijs,"['land', 'bouw', 'on', 'der', 'wijs']",5
vliegreisjes,"['vlieg', 'reis', 'jes']",3
inhoudsopgave,"['in', 'houds', 'op', 'ga', 've']",5
selfieshoppertje,"['sel', 'fie', 'shop', 'per', 'tje']",5
deurwaarder,"['deur', 'waar', 'der']",3
troggelde af,"['trog', 'gel', 'de', 'af']",4
meert,['meert'],1
klimatologie,"['kli', 'ma', 'to', 'lo', 'gie']",5
heruit,"['her', 'uit']",2
meteorologisch,"['me', 'te', 'o', 'ro', 'lo', 'gisch']",6
kogelhulsjes,"['ko', 'gel', 'huls', 'jes']",4
brandweerlieden,"['brand', 'weer', 'lie', 'den']",4
zoetwaterplant,"['zoet', 'wa', 'ter', 'plant']",4
stemblok,"['stem', 'blok']",2
saillant,"['sail', 'lant']",2
aartsdioceesje,"['aarts', 'di', 'o', 'cees', 'je']",5
zeeg,['zeeg'],1
zitplaats,"['zit', 'plaats']",2
simplex,"['sim', 'plex']",2
verkoolde,"['ver', 'kool', 'de']",3
sodom en gomorra,"['so', 'dom', 'en', 'go', 'mor', 'ra']",6
zei af,"['zei', 'af']",2
kloef,['kloef'],1
aanbeeldsblokjes,"['aan', 'beelds', 'blok', 'jes']",4
infirmatie,"['in', 'fir', 'ma', 'tie']",4
kaartspel,"['kaart', 'spel']",2
finale,"['fi', 'na', 'le']",3
Oudsaksisch,"['Oud', 'sak', 'sisch']",3
exclamatief,"['ex', 'cla', 'ma', 'tief']",4
zwadder,"['zwad', 'der']",2
bindselen,"['bind', 'se', 'len']",3
materniteit,"['ma', 'ter', 'ni', 'teit']",4
stotig,"['sto', 'tig']",2
Oude Dommel,"['Ou', 'de', 'Dom', 'mel']",4
brassière,"['bras', 'si', 'è', 're']",4
synonymie,"['sy', 'no', 'ny', 'mie']",4
boomspiegel,"['boom', 'spie', 'gel']",3
beroepssport,"['be', 'roeps', 'sport']",3
talkklieren,"['talk', 'klie', 'ren']",3
halfgeïnteresseerds,"['half', 'ge', 'ïn', 'te', 'res', 'seerds']",6
merk,['merk'],1
gezinswagentjes,"['ge', 'zins', 'wa', 'gen', 'tjes']",5
schobbejak,"['schob', 'be', 'jak']",3
sos,['sos'],1
beurtvaartjes,"['beurt', 'vaart', 'jes']",3
rookwolk,"['rook', 'wolk']",2
catalogus,"['ca', 'ta', 'lo', 'gus']",4
loonlijst,"['loon', 'lijst']",2
crocusvacantie,"['cro', 'cus', 'va', 'can', 'tie']",5
kabelvoering,"['ka', 'bel', 'voe', 'ring']",4
romaanste,"['ro', 'maans', 'te']",3
klapkut,"['klap', 'kut']",2
eschatologie,"['es', 'cha', 'to', 'lo', 'gie']",5
zomermode,"['zo', 'mer', 'mo', 'de']",4
tumultueus,"['tu', 'mul', 'tu', 'eus']",4
nardus,"['nar', 'dus']",2
romanisering,"['ro', 'ma', 'ni', 'se', 'ring']",5
waadvogel,"['waad', 'vo', 'gel']",3
Bulgaarse,"['Bul', 'gaar', 'se']",3
hartspecialist,"['hart', 'spe', 'ci', 'a', 'list']",5
goeddunken,"['goed', 'dun', 'ken']",3
likhout,"['lik', 'hout']",2
uurwerk,"['uur', 'werk']",2
achterbankje,"['ach', 'ter', 'bank', 'je']",4
lunch,['lunch'],1
handelsproblemen,"['han', 'dels', 'pro', 'ble', 'men']",5
badkuipkromme,"['bad', 'kuip', 'krom', 'me']",4
aalduikertjes,"['aal', 'dui', 'ker', 'tjes']",4
Argentinië,"['Ar', 'gen', 'ti', 'nië']",4
kanalisatie,"['ka', 'na', 'li', 'sa', 'tie']",5
siervogel,"['sier', 'vo', 'gel']",3
zelfvoldaanst,"['zelf', 'vol', 'daanst']",3
aartsprofeetje,"['aarts', 'pro', 'feet', 'je']",4
waterspiegeltjes,"['wa', 'ter', 'spie', 'gel', 'tjes']",5
schimmel,"['schim', 'mel']",2
liveopname,"['live', 'op', 'na', 'me']",4
evolutietheorie,"['evo', 'lu', 'tie', 'the', 'o', 'rie']",6
jonk,['jonk'],1
staken af,"['sta', 'ken', 'af']",3
zekers,"['ze', 'kers']",2
getroostte,"['ge', 'troost', 'te']",3
zwembadbarretjes,"['zwem', 'bad', 'bar', 're', 'tjes']",5
alcantara,"['al', 'can', 'ta', 'ra']",4
friet,['friet'],1
-heid,['-heid'],1
geslist,"['ge', 'slist']",2
terrestrisch,"['ter', 'res', 'trisch']",3
druiven,"['drui', 'ven']",2
zilverwit,"['zil', 'ver', 'wit']",3
onverwachtste,"['on', 'ver', 'wacht', 'ste']",4
ringoppervlakje,"['ring', 'op', 'per', 'vlak', 'je']",5
fietstransferia,"['fiets', 'trans', 'fe', 'ria']",4
èta's,"[""èta's""]",1
blueszanger,"['blues', 'zan', 'ger']",3
laurierbes,"['lau', 'rier', 'bes']",3
masturberen,"['mas', 'tur', 'be', 'ren']",4
toestel,"['toe', 'stel']",2
evocatie,"['evo', 'ca', 'tie']",3
vrijwel,"['vrij', 'wel']",2
bijenstal,"['bij', 'en', 'stal']",3
inmiddels,"['in', 'mid', 'dels']",3
betitelden,"['be', 'ti', 'tel', 'den']",4
sterrenkundig,"['ster', 'ren', 'kun', 'dig']",4
schuiver,"['schui', 'ver']",2
partijfunctionarissen,"['par', 'tij', 'func', 'ti', 'o', 'na', 'ris', 'sen']",8
novemberdag,"['no', 'vem', 'ber', 'dag']",4
gepiepeld,"['ge', 'pie', 'peld']",3
noest,['noest'],1
Bantoetaal,"['Ban', 'toe', 'taal']",3
zichronot,"['zi', 'chro', 'not']",3
fobischer,"['fo', 'bi', 'scher']",3
tweewaardig,"['twee', 'waar', 'dig']",3
datingshows,"['da', 'ting', 'shows']",3
croquet,"['cro', 'quet']",2
voortstuwinkjes,"['voort', 'stu', 'win', 'kjes']",4
stappen,"['stap', 'pen']",2
pivoteren,"['pi', 'vo', 'te', 'ren']",4
labberdoedas,"['lab', 'ber', 'doe', 'das']",4
ordentelijke,"['or', 'den', 'te', 'lij', 'ke']",5
disproportionelers,"['dis', 'pro', 'por', 'ti', 'o', 'ne', 'lers']",7
vreemdelingenproblemen,"['vreem', 'de', 'lin', 'gen', 'pro', 'ble', 'men']",7
visten af,"['vis', 'ten', 'af']",3
krantenman,"['kran', 'ten', 'man']",3
huldigen,"['hul', 'di', 'gen']",3
ontslaken,"['ont', 'sla', 'ken']",3
zeden,"['ze', 'den']",2
klimaatneutraal,"['kli', 'maat', 'neu', 'traal']",4
graecomaantje,"['grae', 'co', 'maan', 'tje']",4
formatverandering,"['for', 'mat', 'ver', 'an', 'de', 'ring']",6
sulfer,"['sul', 'fer']",2
metastasen,"['me', 'ta', 'sta', 'sen']",4
Volendam,"['Vo', 'len', 'dam']",3
interfix,"['in', 'ter', 'fix']",3
legertje,"['le', 'ger', 'tje']",3
verscheidenheid,"['ver', 'schei', 'den', 'heid']",4
stopbad,"['stop', 'bad']",2
uitrazend,"['uit', 'ra', 'zend']",3
waterbouwkundigste,"['wa', 'ter', 'bouw', 'kun', 'dig', 'ste']",6
alien-handsyndroom,"['ali', 'en-hand', 'syn', 'droom']",4
vijfling,"['vijf', 'ling']",2
jeuk,['jeuk'],1
gescalpeerd,"['ge', 'scal', 'peerd']",3
idiofoon,"['idio', 'foon']",2
wraakbaarst,"['wraak', 'baarst']",2
visvangst,"['vis', 'vangst']",2
hydra,"['hy', 'dra']",2
deurknop,"['deur', 'knop']",2
teleurstellen,"['te', 'leur', 'stel', 'len']",4
zitje,"['zit', 'je']",2
spiegelschip,"['spie', 'gel', 'schip']",3
genadiger,"['ge', 'na', 'di', 'ger']",4
spijten,"['spij', 'ten']",2
uitgieten,"['uit', 'gie', 'ten']",3
schemer,"['sche', 'mer']",2
balen,"['ba', 'len']",2
westzuidwest,"['west', 'zuid', 'west']",3
onbekookte,"['on', 'be', 'kook', 'te']",4
toerit,"['toe', 'rit']",2
kniezen,"['knie', 'zen']",2
weldeden,"['wel', 'de', 'den']",3
nuldraad,"['nul', 'draad']",2
verdrumde,"['ver', 'drum', 'de']",3
technetium,"['tech', 'ne', 'ti', 'um']",4
kloosterling,"['kloos', 'ter', 'ling']",3
contraspionage,"['con', 'tra', 'spi', 'o', 'na', 'ge']",6
tieten,"['tie', 'ten']",2
veefokkerij,"['vee', 'fok', 'ke', 'rij']",4
ex-gevangene,"['ex-ge', 'van', 'ge', 'ne']",4
meerderheidsbeginsel,"['meer', 'der', 'heids', 'be', 'gin', 'sel']",6
recombinatie,"['re', 'com', 'bi', 'na', 'tie']",5
sollicitatie,"['sol', 'li', 'ci', 'ta', 'tie']",5
pommaderen,"['pom', 'ma', 'de', 'ren']",4
