woorden,lettergrepen,aantal lettergrepen
eremiet,"['ere', 'miet']",2
slaapsokje,"['slaap', 'sok', 'je']",3
meerhoofdigs,"['meer', 'hoof', 'digs']",3
legaliseer,"['le', 'ga', 'li', 'seer']",4
ter harte nemen,"['ter', 'har', 'te', 'ne', 'men']",5
mensendieck,"['men', 'sen', 'dieck']",3
pooierigs,"['pooi', 'erigs']",2
punkband,"['punk', 'band']",2
d-klein,['d-klein'],1
lentezon,"['len', 'te', 'zon']",3
kalkrijke,"['kalk', 'rij', 'ke']",3
populatiebiologie,"['po', 'pu', 'la', 'tie', 'bio', 'lo', 'gie']",7
zonneslag,"['zon', 'ne', 'slag']",3
beeldmerkjes,"['beeld', 'merk', 'jes']",3
madonna,"['ma', 'don', 'na']",3
kazerne,"['ka', 'zer', 'ne']",3
misdaadplek,"['mis', 'daad', 'plek']",3
Fijiaans,"['Fi', 'ji', 'aans']",3
ontstaansgeschiedenis,"['ont', 'staans', 'ge', 'schie', 'de', 'nis']",6
familietrek,"['fa', 'mi', 'lie', 'trek']",4
afhouwend,"['af', 'hou', 'wend']",3
algemeenst,"['al', 'ge', 'meenst']",3
teeuw,['teeuw'],1
zag,['zag'],1
insulair,"['in', 'su', 'lair']",3
knikken,"['knik', 'ken']",2
wateroplosbaarste,"['wa', 'ter', 'op', 'los', 'baar', 'ste']",6
zwijgzaam,"['zwijg', 'zaam']",2
mensendiecktherapie,"['men', 'sen', 'dieck', 'the', 'ra', 'pie']",6
geleewiekt,"['ge', 'lee', 'wiekt']",3
rijlesjes,"['rij', 'les', 'jes']",3
houtblok,"['hout', 'blok']",2
venerischere,"['ve', 'ne', 'ri', 'sche', 're']",5
opleukte,"['op', 'leuk', 'te']",3
geknetterd,"['ge', 'knet', 'terd']",3
aanhorigheid,"['aan', 'ho', 'rig', 'heid']",4
cs-gas,['cs-gas'],1
herschoolde,"['her', 'school', 'de']",3
oorlamsmok,"['oor', 'lams', 'mok']",3
weigeraar,"['wei', 'ge', 'raar']",3
kinderhuwelijk,"['kin', 'der', 'hu', 'we', 'lijk']",5
stabilo,"['sta', 'bi', 'lo']",3
Utopia,"['Uto', 'pia']",2
criticus,"['cri', 'ti', 'cus']",3
wasser,"['was', 'ser']",2
oosterling,"['oos', 'ter', 'ling']",3
box,['box'],1
verkoper,"['ver', 'ko', 'per']",3
vrouwtjesvarken,"['vrouw', 'tjes', 'var', 'ken']",4
watervalmethode,"['wa', 'ter', 'val', 'me', 'tho', 'de']",6
martelen,"['mar', 'te', 'len']",3
non-alcoholica,"['non-al', 'co', 'ho', 'li', 'ca']",5
n,['n'],1
yoghurtdrank,"['yo', 'ghurt', 'drank']",3
vaart,['vaart'],1
gaggelen,"['gag', 'ge', 'len']",3
onledigere,"['on', 'le', 'di', 'ge', 're']",5
spadeschep,"['spa', 'de', 'schep']",3
praatte voorbij,"['praat', 'te', 'voor', 'bij']",4
hinderlaag,"['hin', 'der', 'laag']",3
hondsbrutalere,"['honds', 'bru', 'ta', 'le', 're']",5
beweidend,"['be', 'wei', 'dend']",3
week,['week'],1
viersprongen,"['vier', 'spron', 'gen']",3
oudsher,"['ouds', 'her']",2
cinematofiel,"['ci', 'ne', 'ma', 'to', 'fiel']",5
Fanny,"['Fan', 'ny']",2
elektrische,"['elek', 'tri', 'sche']",3
messieurs,"['mes', 'si', 'eurs']",3
spatieerde,"['spa', 'ti', 'eer', 'de']",4
kamersupplement,"['ka', 'mer', 'sup', 'ple', 'ment']",5
chiller,"['chil', 'ler']",2
spaarzin,"['spaar', 'zin']",2
verga,"['ver', 'ga']",2
droogmakerijtjes,"['droog', 'ma', 'ke', 'rij', 'tjes']",5
aanplantend,"['aan', 'plan', 'tend']",3
moer,['moer'],1
orthopedist,"['or', 'tho', 'pe', 'dist']",4
kaartspel,"['kaart', 'spel']",2
retraite,"['re', 'trai', 'te']",3
sickbuildingsyndroom,"['sick', 'buil', 'ding', 'syn', 'droom']",5
zekering,"['ze', 'ke', 'ring']",3
plot,['plot'],1
bloktijden,"['blok', 'tij', 'den']",3
lamsoor,"['lams', 'oor']",2
bosneger,"['bos', 'ne', 'ger']",3
esperantiste,"['es', 'pe', 'ran', 'tis', 'te']",5
vetkoek,"['vet', 'koek']",2
succesvol,"['suc', 'ces', 'vol']",3
gemêleerdere,"['ge', 'mê', 'leer', 'de', 're']",5
attachékoffer,"['at', 'ta', 'ché', 'kof', 'fer']",5
knijpbrilletjes,"['knijp', 'bril', 'le', 'tjes']",4
red,['red'],1
Aabenraa,"['Aa', 'ben', 'raa']",3
scheidsrechter,"['scheids', 'rech', 'ter']",3
tochtig,"['toch', 'tig']",2
wierpotten,"['wier', 'pot', 'ten']",3
soldeerpistool,"['sol', 'deer', 'pis', 'tool']",4
Santomees,"['San', 'to', 'mees']",3
pelagisch,"['pe', 'la', 'gisch']",3
kauri's,"['kau', ""ri's""]",2
geknisperd,"['ge', 'knis', 'perd']",3
suikerdiefje,"['sui', 'ker', 'dief', 'je']",4
ophokuurtje,"['op', 'hok', 'uur', 'tje']",4
Pohnpeiaans,"['Pohn', 'pei', 'aans']",3
tannine,"['tan', 'ni', 'ne']",3
chocoladehoeren,"['cho', 'co', 'la', 'de', 'hoe', 'ren']",6
frauderen,"['frau', 'de', 'ren']",3
hostiels,"['hos', 'tiels']",2
penoze,"['pe', 'no', 'ze']",3
€500-biljetten,"['€500-bil', 'jet', 'ten']",3
bijwijlen,"['bij', 'wij', 'len']",3
schatvertrek,"['schat', 'ver', 'trek']",3
onbehulpzamere,"['on', 'be', 'hulp', 'za', 'me', 're']",6
wegvegend,"['weg', 've', 'gend']",3
grondnootje,"['grond', 'noot', 'je']",3
dirigeren,"['di', 'ri', 'ge', 'ren']",4
zuivel,"['zui', 'vel']",2
schildzoompje,"['schild', 'zoom', 'pje']",3
cijferlijst,"['cij', 'fer', 'lijst']",3
zelfconcept,"['zelf', 'con', 'cept']",3
kabaai,"['ka', 'baai']",2
autosleutels,"['au', 'to', 'sleu', 'tels']",4
vrolijk,"['vro', 'lijk']",2
vrijzinnig,"['vrij', 'zin', 'nig']",3
spannend,"['span', 'nend']",2
verdichtsel,"['ver', 'dicht', 'sel']",3
Wereldbank,"['We', 'reld', 'bank']",3
magnaat,"['mag', 'naat']",2
cantabile,"['can', 'ta', 'bi', 'le']",4
filmrol,"['film', 'rol']",2
Dadra en Nagar Haveli,"['Da', 'dra', 'en', 'Na', 'gar', 'Ha', 've', 'li']",8
emmertje,"['em', 'mer', 'tje']",3
verveelden,"['ver', 'veel', 'den']",3
dakvormpje,"['dak', 'vorm', 'pje']",3
aalmoezeniertjes,"['aal', 'moe', 'ze', 'nier', 'tjes']",5
farads,"['fa', 'rads']",2
acclimatisatie,"['ac', 'cli', 'ma', 'ti', 'sa', 'tie']",6
hoofdpijn,"['hoofd', 'pijn']",2
verteren,"['ver', 'te', 'ren']",3
onbezorgde,"['on', 'be', 'zorg', 'de']",4
hergebruikers,"['her', 'ge', 'brui', 'kers']",4
persoonlijke voornaamwoorden,"['per', 'soon', 'lij', 'ke', 'voor', 'naam', 'woor', 'den']",8
weggeknipt,"['weg', 'ge', 'knipt']",3
ontreddering,"['ont', 'red', 'de', 'ring']",4
schavielen,"['scha', 'vie', 'len']",3
corporatiewoningen,"['cor', 'po', 'ra', 'tie', 'wo', 'nin', 'gen']",7
gestrenger,"['ge', 'stren', 'ger']",3
amuletten,"['amu', 'let', 'ten']",3
stripper,"['strip', 'per']",2
starten,"['star', 'ten']",2
afbijtmiddel,"['af', 'bijt', 'mid', 'del']",4
aanvlij,"['aan', 'vlij']",2
fascistisch,"['fas', 'cis', 'tisch']",3
hazenvellen,"['ha', 'zen', 'vel', 'len']",4
oefendagen,"['oe', 'fen', 'da', 'gen']",4
Joodse,"['Jood', 'se']",2
beangst,"['be', 'angst']",2
dreef omhoog,"['dreef', 'om', 'hoog']",3
vrouwonvriendelijks,"['vrouw', 'on', 'vrien', 'de', 'lijks']",5
madonna's,"['ma', 'don', ""na's""]",3
maile,"['mai', 'le']",2
plokworst,"['plok', 'worst']",2
aambeeldsblokken,"['aam', 'beelds', 'blok', 'ken']",4
kinderjaren,"['kin', 'der', 'ja', 'ren']",4
ganselijk,"['gan', 'se', 'lijk']",3
Bodediagram,"['Bo', 'de', 'di', 'a', 'gram']",5
omkoping,"['om', 'ko', 'ping']",3
gladiussen,"['gla', 'di', 'us', 'sen']",4
ruthenium,"['ru', 'the', 'ni', 'um']",4
boekengek,"['boe', 'ken', 'gek']",3
ochtendzon,"['och', 'tend', 'zon']",3
spotgoedkoopste,"['spot', 'goed', 'koop', 'ste']",4
andantino,"['an', 'dan', 'ti', 'no']",4
productieleider,"['pro', 'duc', 'tie', 'lei', 'der']",5
codificeren,"['co', 'di', 'fi', 'ce', 'ren']",5
vage,"['va', 'ge']",2
erop ingaan,"['er', 'op', 'in', 'gaan']",4
Plioceen,"['Pli', 'o', 'ceen']",3
omarmd,"['om', 'armd']",2
schilderes,"['schil', 'de', 'res']",3
inlogde,"['in', 'log', 'de']",3
vooraanstaand,"['voor', 'aan', 'staand']",3
huif,['huif'],1
stinkappel,"['stink', 'ap', 'pel']",3
draagvleugel,"['draag', 'vleu', 'gel']",3
puik,['puik'],1
Fis-groot,['Fis-groot'],1
vakwoordenboek,"['vak', 'woor', 'den', 'boek']",4
feestgevierd,"['feest', 'ge', 'vierd']",3
Wijchensen,"['Wij', 'chen', 'sen']",3
zeeverste,"['zee', 'vers', 'te']",3
arbeidsschuwste,"['ar', 'beids', 'schuw', 'ste']",4
Midden-Oostenbeleid,"['Mid', 'den-Oos', 'ten', 'be', 'leid']",5
zwicht,['zwicht'],1
Panama,"['Pa', 'na', 'ma']",3
wasbankjes,"['was', 'bank', 'jes']",3
vier miljard,"['vier', 'mil', 'jard']",3
hereniging,"['her', 'eni', 'ging']",3
snoeken,"['snoe', 'ken']",2
kraakcafés,"['kraak', 'ca', 'fés']",3
vermakelijkheidsbelasting,"['ver', 'ma', 'ke', 'lijk', 'heids', 'be', 'las', 'ting']",8
onvoorspelbare,"['on', 'voor', 'spel', 'ba', 're']",5
autonomisme,"['au', 'to', 'no', 'mis', 'me']",5
bolakkers,"['bol', 'ak', 'kers']",3
absolveren,"['ab', 'sol', 've', 'ren']",4
modulair,"['mo', 'du', 'lair']",3
schoolverlater,"['school', 'ver', 'la', 'ter']",4
manen,"['ma', 'nen']",2
antimoon,"['an', 'ti', 'moon']",3
vaandelvlucht,"['vaan', 'del', 'vlucht']",3
arbeidsrechten,"['ar', 'beids', 'rech', 'ten']",4
briljant,"['bril', 'jant']",2
Dargva,"['Darg', 'va']",2
archieven,"['ar', 'chie', 'ven']",3
eenzelfde,"['een', 'zelf', 'de']",3
aquavit,"['aqua', 'vit']",2
triatleet,"['tri', 'at', 'leet']",3
macroscopisch,"['ma', 'cro', 'sco', 'pisch']",4
gedoogbeleid,"['ge', 'doog', 'be', 'leid']",4
maaginhouden,"['maag', 'in', 'hou', 'den']",4
boekhouding,"['boek', 'hou', 'ding']",3
mierenzuur,"['mie', 'ren', 'zuur']",3
leraart,"['le', 'raart']",2
spijkerbedden,"['spij', 'ker', 'bed', 'den']",4
bemergelend,"['be', 'mer', 'ge', 'lend']",4
valselijk,"['val', 'se', 'lijk']",3
zoals,"['zo', 'als']",2
plafond,"['pla', 'fond']",2
krulziekte,"['krul', 'ziek', 'te']",3
loempia,"['loem', 'pia']",2
foton,"['fo', 'ton']",2
zittingsdatums,"['zit', 'tings', 'da', 'tums']",4
wachte af,"['wach', 'te', 'af']",3
bolvormigs,"['bol', 'vor', 'migs']",3
bondgenote,"['bond', 'ge', 'no', 'te']",4
rutiel,"['ru', 'tiel']",2
ajakkes,"['ajak', 'kes']",2
prooste,"['proos', 'te']",2
waarschap,"['waar', 'schap']",2
tribunaal,"['tri', 'bu', 'naal']",3
wrik,['wrik'],1
aandachtsgebiedje,"['aan', 'dachts', 'ge', 'bied', 'je']",5
vestibule,"['ves', 'ti', 'bu', 'le']",4
bladstil,"['blad', 'stil']",2
aandachtigste,"['aan', 'dach', 'tig', 'ste']",4
pijl,['pijl'],1
februaridag,"['fe', 'bru', 'a', 'ri', 'dag']",5
parser,"['par', 'ser']",2
vorkbliksempje,"['vork', 'blik', 'sem', 'pje']",4
stop,['stop'],1
aanlegplaatsjes,"['aan', 'leg', 'plaats', 'jes']",4
triste,"['tris', 'te']",2
thuiswinkel,"['thuis', 'win', 'kel']",3
boogschutter,"['boog', 'schut', 'ter']",3
grutjes,"['grut', 'jes']",2
zeegevecht,"['zee', 'ge', 'vecht']",3
uitentreuren,"['ui', 'ten', 'treu', 'ren']",4
trekvogel,"['trek', 'vo', 'gel']",3
neergekeken,"['neer', 'ge', 'ke', 'ken']",4
joods-christelijk,"['joods-chris', 'te', 'lijk']",3
energierekeningen,"['ener', 'gie', 're', 'ke', 'nin', 'gen']",6
volkuipje,"['vol', 'kuip', 'je']",3
bakpoeder,"['bak', 'poe', 'der']",3
ontvangantenne,"['ont', 'vang', 'an', 'ten', 'ne']",5
boezem,"['boe', 'zem']",2
vinnig,"['vin', 'nig']",2
sterkteleer,"['sterk', 'te', 'leer']",3
aten,['aten'],1
dwarsgezeten,"['dwars', 'ge', 'ze', 'ten']",4
toxicoloog,"['toxi', 'co', 'loog']",3
hoereren,"['hoe', 're', 'ren']",3
rissen,"['ris', 'sen']",2
uitspraaknotatie,"['uit', 'spraak', 'no', 'ta', 'tie']",5
verslijten,"['ver', 'slij', 'ten']",3
stemtoonhoogte,"['stem', 'toon', 'hoog', 'te']",4
Wotisch,"['Wo', 'tisch']",2
rotters,"['rot', 'ters']",2
slotfases,"['slot', 'fa', 'ses']",3
sorgo,"['sor', 'go']",2
Kamano,"['Ka', 'ma', 'no']",3
big bang,"['big', 'bang']",2
hartaanval,"['hart', 'aan', 'val']",3
aarsvin,"['aars', 'vin']",2
essentie,"['es', 'sen', 'tie']",3
toeschouwen,"['toe', 'schou', 'wen']",3
onesthetische,"['on', 'es', 'the', 'ti', 'sche']",5
hardloopsters,"['hard', 'loop', 'sters']",3
nultrapjes,"['nul', 'trap', 'jes']",3
verkorten,"['ver', 'kor', 'ten']",3
broekventjes,"['broek', 'vent', 'jes']",3
vlakgecentreerd,"['vlak', 'ge', 'cen', 'treerd']",4
oefenstof,"['oe', 'fen', 'stof']",3
kinderjury,"['kin', 'der', 'ju', 'ry']",4
huistelefoon,"['huis', 'te', 'le', 'foon']",4
circulatiepomp,"['cir', 'cu', 'la', 'tie', 'pomp']",5
veilt,['veilt'],1
couverteren,"['cou', 'ver', 'te', 'ren']",4
idiomatisch,"['idio', 'ma', 'tisch']",3
vuurvaste,"['vuur', 'vas', 'te']",3
spectraallijntjes,"['spec', 'traal', 'lijn', 'tjes']",4
chargeerde,"['char', 'geer', 'de']",3
kneuzing,"['kneu', 'zing']",2
herriep,"['her', 'riep']",2
kopjes,"['kop', 'jes']",2
escorts,"['es', 'corts']",2
hoofdlettergevoeligheid,"['hoofd', 'let', 'ter', 'ge', 'voe', 'lig', 'heid']",7
oelama's,"['oe', 'la', ""ma's""]",3
oplaadbaar,"['op', 'laad', 'baar']",3
betekenisvoller,"['be', 'te', 'ke', 'nis', 'vol', 'ler']",6
werpen,"['wer', 'pen']",2
lasmessen,"['las', 'mes', 'sen']",3
croquet,"['cro', 'quet']",2
relmuis,"['rel', 'muis']",2
fauvisten,"['fau', 'vis', 'ten']",3
exhumatie,"['ex', 'hu', 'ma', 'tie']",4
ontwapenen,"['ont', 'wa', 'pe', 'nen']",4
beoefening,"['be', 'oe', 'fe', 'ning']",4
ontbijten,"['ont', 'bij', 'ten']",3
driehonderd,"['drie', 'hon', 'derd']",3
autokatalyse,"['au', 'to', 'ka', 'ta', 'ly', 'se']",6
omtrent,"['om', 'trent']",2
onsterk,"['on', 'sterk']",2
petabytejes,"['pe', 'ta', 'byte', 'jes']",4
trachten,"['trach', 'ten']",2
slijm,['slijm'],1
aya,['aya'],1
eenpersoons,"['een', 'per', 'soons']",3
invoeging,"['in', 'voe', 'ging']",3
roomden,"['room', 'den']",2
binnenloopt,"['bin', 'nen', 'loopt']",3
raad,['raad'],1
assistentes,"['as', 'sis', 'ten', 'tes']",4
kruiskopschroevendraaier,"['kruis', 'kop', 'schroe', 'ven', 'draai', 'er']",6
trottoirband,"['trot', 'toir', 'band']",3
peptiseert,"['pep', 'ti', 'seert']",3
maillot,"['mail', 'lot']",2
zuiveren aan,"['zui', 've', 'ren', 'aan']",4
rechtuit,"['recht', 'uit']",2
oliecrisis,"['olie', 'cri', 'sis']",3
rechtbank,"['recht', 'bank']",2
vooruitsteken,"['voor', 'uit', 'ste', 'ken']",4
halfgeleider,"['half', 'ge', 'lei', 'der']",4
gecontroleerder,"['ge', 'con', 'tro', 'leer', 'der']",5
klimop,"['klim', 'op']",2
zweetdoekjes,"['zweet', 'doek', 'jes']",3
conducteur,"['con', 'duc', 'teur']",3
fietspad,"['fiets', 'pad']",2
onontkoombaar,"['on', 'ont', 'koom', 'baar']",4
toelaten,"['toe', 'la', 'ten']",3
woordspelen,"['woord', 'spe', 'len']",3
tegenwerping,"['te', 'gen', 'wer', 'ping']",4
blauwe gaai,"['blau', 'we', 'gaai']",3
luwere,"['lu', 'we', 're']",3
Mandarijn,"['Man', 'da', 'rijn']",3
exterieur,"['ex', 'te', 'ri', 'eur']",4
ijswolkje,"['ijs', 'wolk', 'je']",3
slat,['slat'],1
vrouwenkiesrecht,"['vrou', 'wen', 'kies', 'recht']",4
opstijgen,"['op', 'stij', 'gen']",3
functionaaltjes,"['func', 'tio', 'naal', 'tjes']",4
mensenmenigte,"['men', 'sen', 'me', 'nig', 'te']",5
onderhoudbaarheid,"['on', 'der', 'houd', 'baar', 'heid']",5
Oostakker,"['Oost', 'ak', 'ker']",3
tevredenst,"['te', 'vre', 'denst']",3
jaarvogel,"['jaar', 'vo', 'gel']",3
motor,"['mo', 'tor']",2
bagatelletjes,"['ba', 'ga', 'tel', 'le', 'tjes']",5
verloochenen,"['ver', 'loo', 'che', 'nen']",4
gedeeld,"['ge', 'deeld']",2
mine,"['mi', 'ne']",2
kanaal,"['ka', 'naal']",2
attestatie de vita,"['at', 'tes', 'ta', 'tie', 'de', 'vi', 'ta']",7
Ekspreso,"['Ek', 'spre', 'so']",3
discretionair,"['dis', 'cre', 'tio', 'nair']",4
biljoenste,"['bil', 'joen', 'ste']",3
terugkelderen,"['te', 'rug', 'kel', 'de', 'ren']",5
influenties,"['in', 'flu', 'en', 'ties']",4
bekroond,"['be', 'kroond']",2
slabbe,"['slab', 'be']",2
deblokkeren,"['de', 'blok', 'ke', 'ren']",4
kerstboomachtig,"['kerst', 'boom', 'ach', 'tig']",4
linkfixje,"['link', 'fix', 'je']",3
vertrouwenwekkenders,"['ver', 'trou', 'wen', 'wek', 'ken', 'ders']",6
bovenkanten,"['bo', 'ven', 'kan', 'ten']",4
tournedostje,"['tour', 'ne', 'dos', 'tje']",4
tabaksvelden,"['ta', 'baks', 'vel', 'den']",4
heethoofdigst,"['heet', 'hoof', 'digst']",3
meedingen,"['mee', 'din', 'gen']",3
Servo-Kroatisch,"['Ser', 'vo-Kro', 'a', 'tisch']",4
ambrozijn,"['am', 'bro', 'zijn']",3
afkaart,"['af', 'kaart']",2
safere,"['sa', 'fe', 're']",3
veraardsen,"['ver', 'aard', 'sen']",3
meerprijs,"['meer', 'prijs']",2
genre,"['gen', 're']",2
Hiri Motu,"['Hi', 'ri', 'Mo', 'tu']",4
onverdachter,"['on', 'ver', 'dach', 'ter']",4
ledigs,"['le', 'digs']",2
Rooms,['Rooms'],1
stuwpand,"['stuw', 'pand']",2
kamigste,"['ka', 'mig', 'ste']",3
Koerdisch,"['Koer', 'disch']",2
infobusje,"['in', 'fo', 'bus', 'je']",4
eendracht,"['een', 'dracht']",2
